Discipline ,Name ,Key author,Type 
Behavioral science ,Attitude-Behavior- Context (ABC) Theory ,Paul C. Stern,Agency- centered 
Behavioral science ,Attribution Theory ,Kelvin Lancaster,Agency- centered 
Behavioral science ,Comprehensive Technology Acceptance Framework ,N.M.A. Huijts,Agency- centered 
Behavioral science ,Cognitive DissonanceTheory ,Leon Festinger ,Agency- centered 
Behavioral science ,Consumer PreferenceTheory ,George Homans,Agency- centered 
Behavioral science ,Cultural Theory ,Michael Thompson Richard J. Ellis,Structure- centered 
Behavioral science ,Deficit Model ,J Burgess,Agency- centered 
Behavioral science ,Elaboration- Likelihood Model ,Richard E. Petty,Meaning- centered 
Behavioral science ,Expectancy-Value Theory ,Martin C. Fishbein,Agency- centered 
Behavioral science ,Four Dimensions of Behavior (4DB) Framework ,Tim Chatterton,Agency- centered 
Behavioral science ,Field Theory ,Kurt Lewin ,Agency- centered 
Behavioral science ,Integrated Framework for Encouraging Pro- environmental Behavior (IFEP) ,Jan Willem Bolderdijk,Agency- centered 
Behavioral science ,Interpersonal Behavior (TIB) ,Harry C. Triandis ,Agency- centered 
Behavioral science ,Lifestyle Theory ,Anthony Giddens,Agency- centered 
Behavioral science ,Motivation-Ability- Opportunity Model ,Folke Ölander,Agency- centered 
Behavioral science ,Means End Chain Theory ,Jonathan Gutman,Agency- centered 
Behavioral science ,Norm Activation Theory/Model ,SH Schwartz ,Agency- centered 
Behavioral science ,Focus Theory of Normative Conduct ,Robert B. Cialdini ,Agency- centered 
Behavioral science ,Persuasion Theory ,Carl Hovland,Agency- centered 
Behavioral science ,Protection MotivationTheory ,RW Rogers,Agency- centered 
Behavioral Science ,Social Learning Theory ,Albert Bandura ,Agency- centered 
Behavioral science ,Self-Discrepancy Theory ,E. Tory Higgins ,Agency- centered 
Behavioral science ,Self-Perception Theory ,Daryl Bem ,Agency- centered 
Behavioral science ,Subjective Expected Utility (SEU) ,Martin C. Fishbein,Agency- centered 
Behavioral science ,Symbolic Interactionism ,George Herbert Mead,Meaning- centered 
Behavioral science ,Symbolic Self- Completion Theory ,Robert A. Wicklund Peter M. Gollwitzer ,Agency- centered 
Behavioral science ,Theory of Planned Behaviour (TPA) ,Icek Azjen ,Agency- centered 
Behavioral science ,Theory of Reasoned Action (TRA) ,Martin C. Fishbein,Agency- centered 
Behavioral science ,Transtheoretical Model ,James Q. Prochaska,Agency- centered 
Behavioral science ,Values-Beliefs- Norms Theory ,Paul C. Stern,Agency- centered 
Business studies ,Schemas and Scripts ,P.J. DiMaggio,Meaning- centered 
Communication studies ,Symbolic Convergence Theory ,Ernest G Bormann,Meaning- centered  
Conflict resolution and project management ,Critical StakeholderAssessment ,R.K. Mitchell,Agency- centered 
Consumption studies ,Domestication Theory ,Roger Silverstone ,Agency- centered 
Development studies ,Sustainable Development ,Jeffrey Sachs,Normative 
Economics ,Bounded Rationality,Herbert Simon ,Agency- centered 
Economics ,Creative Destruction,Joseph Schumpeter ,Structure- centered 
Economics ,Prospect Theory ,D.A.Kahneman,Agency- centered 
Economics ,RationalTheory Choice ,Gary Becker,Agency- centered 
Economics ,Quantitative Systems Modeling ,R.H. Moss,Structure- centered 
Energy studies ,Energy Cultures Framework ,Janet Stephenson,Agency- centered 
Ethics and moral studies ,Futurity and Subsidence Rights ,Barry Barton,Normative 
History ,Path Dependence ,WB Arthur, David A. Kirsch 
